entity_id,name,canonical,entity_type,context,source,source_url
ENT_D69830,Apple scab,apple scab,Disease,"Apple scab is a common disease of plants in the rose family (Rosaceae) that is caused by the ascomycete fungus Venturia inaequalis. While this disease affects several plant genera, including Sorbus, Cotoneaster, and Pyrus, it is most commonly associated with the infection of Malus trees, including s",wikipedia,https://en.wikipedia.org/wiki/Apple_scab
ENT_67E966,Fire blight,fire blight,Disease,"Fire blight, also written fireblight, is a contagious disease affecting apples, pears, and some other members of the family Rosaceae. It is a serious concern to apple and pear producers. Under optimal conditions, it can destroy an entire orchard in a single growing season. The causal pathogen is Erw",wikipedia,https://en.wikipedia.org/wiki/Fire_blight
ENT_CD17BE,{{lang|es|huitlacoche}},lang|es|huitlacoche,Disease,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte. The infected corn is edible; in Mexico, it is consi",wikipedia,https://en.wikipedia.org/wiki/Corn_smut
ENT_5C4468,''Mycosarcoma maydis,mycosarcoma maydis,Disease,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte. The infected corn is edible; in Mexico, it is consi",wikipedia,https://en.wikipedia.org/wiki/Corn_smut
ENT_38F14E,Corn smut,corn smut,Disease,"Corn smut is a plant disease caused by the pathogenic fungus Mycosarcoma maydis, synonym Ustilago maydis. One of several cereal crop pathogens called smut, the fungus forms galls on all above-ground parts of corn species such as maize and teosinte. The infected corn is edible; in Mexico, it is consi",wikipedia,https://en.wikipedia.org/wiki/Corn_smut
ENT_44D55B,Turcicum leaf blight,turcicum leaf blight,Disease,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr",wikipedia,https://en.wikipedia.org/wiki/Northern_corn_leaf_blight
ENT_FBCFC3,Northern corn leaf blight,northern corn leaf blight,Disease,"Northern corn leaf blight (NCLB) or Turcicum leaf blight (TLB) is a foliar disease of corn (maize) caused by Exserohilum turcicum, the anamorph of the ascomycete Setosphaeria turcica. With its characteristic cigar-shaped lesions, this disease can cause significant yield loss in susceptible corn hybr",wikipedia,https://en.wikipedia.org/wiki/Northern_corn_leaf_blight
ENT_E05C40,''Puccinia graminis,puccinia graminis,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_F59074,red dust,red dust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_AB1B5D,red rust,red rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_D72611,black rust,black rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_CC51BD,Stem rust,stem rust,Disease,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops. Crop species that are affected by the disease include bread wheat, durum wheat, barley and triticale. These diseases have affected cere",wikipedia,https://en.wikipedia.org/wiki/Stem_rust
ENT_2AA5D8,Botrytis cinerea,botrytis cinerea,Disease,"Botrytis cinerea is a necrotrophic (feeding on dead tissue) fungus that affects many plant species, including wine grapes. In viticulture, it is commonly known as ""botrytis bunch rot""; in horticulture, it is usually called ""grey mould"" or ""gray mold"". The fungus gives rise to two different kinds of",wikipedia,https://en.wikipedia.org/wiki/Botrytis_cinerea
ENT_1988A4,Wheat streak mosaic virus,wheat streak mosaic virus,Disease,"Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown. First described in",wikipedia,https://en.wikipedia.org/wiki/Wheat_streak_mosaic_virus
ENT_92106C,WSMV,wsmv,Disease,"Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown. First described in",wikipedia,https://en.wikipedia.org/wiki/Wheat_streak_mosaic_virus
ENT_945C74,Citrus canker,citrus canker,Disease,"Citrus canker is a disease affecting Citrus species caused by the bacterium Xanthomonas citri. Infection causes lesions on the leaves, stems, and fruit of citrus trees, including lime, oranges, and grapefruit. While not harmful to humans, canker significantly affects the vitality of citrus trees,",wikipedia,https://en.wikipedia.org/wiki/Citrus_canker
ENT_009ED2,Holotrichia (Protozoa),holotrichia (protozoa,Disease,"Under current classification systems, Holotrichia is are considered as a historically recognized but currently not used order. Concept retained for legacy purposes. For the genus of beetle in the family Scarabaeidae, see ""Holotrichia (Coleoptera)"" <c_3644>.",agrovoc,http://aims.fao.org/aos/agrovoc/c_15747
ENT_96EA63,holotrichs,holotrichs,Disease,"Under current classification systems, Holotrichia is are considered as a historically recognized but currently not used order. Concept retained for legacy purposes. For the genus of beetle in the family Scarabaeidae, see ""Holotrichia (Coleoptera)"" <c_3644>.",agrovoc,http://aims.fao.org/aos/agrovoc/c_15747
ENT_A5EF98,damping-off,damping-off,Disease,"Damping off (or damping-off) is a horticultural disease or condition, caused by several different pathogens that kill or weaken seeds or seedlings before or after they germinate. It is most prevalent in wet and cool conditions.",wikipedia,https://en.wikipedia.org/wiki/Damping_off
ENT_EC0394,Damping off,damping off,Disease,"Damping off (or damping-off) is a horticultural disease or condition, caused by several different pathogens that kill or weaken seeds or seedlings before or after they germinate. It is most prevalent in wet and cool conditions.",wikipedia,https://en.wikipedia.org/wiki/Damping_off
PV_0040_V270,COFFEE RUST,coffee rust,Disease,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historically devastating — destroyed Sri Lanka's coffee industry in the 1870s.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
